Column1;Number;Name;Basin;Birth YMDHM (UTC);Death YMDHM (UTC);Length;Min Pressure (hPa)
1;195106;KATE;W. N. Pacific;1951;02.07.1951 12:00;78;975
2;195115;RUTH;W. N. Pacific;1951;16.10.1951 00:00;168;924
3;195202;DINAH;W. N. Pacific;1952;24.06.1952 18:00;108;960
4;195204;FREDA;W. N. Pacific;1952;15.07.1952 12:00;36;995
5;195209;KAREN;W. N. Pacific;1952;20.08.1952 00:00;168;955
6;195302;JUDY;W. N. Pacific;1953;07.06.1953 12:00;222;940
7;195313;TESS;W. N. Pacific;1953;27.09.1953 18:00;222;900
8;195405;GRACE;W. N. Pacific;1954;20.08.1954 12:00;204;940
9;195412;JUNE;W. N. Pacific;1954;16.09.1954 00:00;258;910
10;195413;KATHY;W. N. Pacific;1954;08.09.1954 18:00;108;940
11;195414;LORNA;W. N. Pacific;1954;20.09.1954 00:00;192;950
12;195415;MARIE;W. N. Pacific;1954;28.09.1954 00:00;126;956
13;195508;DOT;W. N. Pacific;1955;16.07.1955 18:00;60;995
14;195522;LOUISE;W. N. Pacific;1955;30.09.1955 18:00;228;930
15;195523;MARGE;W. N. Pacific;1955;04.10.1955 06:00;156;965
16;195526;OPAL;W. N. Pacific;1955;21.10.1955 00:00;90;982
17;195603;THELMA;W. N. Pacific;1956;25.04.1956 00:00;210;935
18;195609;BABS;W. N. Pacific;1956;18.08.1956 18:00;156;960
19;195615;HARRIET;W. N. Pacific;1956;28.09.1956 06:00;144;953
20;195710;BESS;W. N. Pacific;1957;07.09.1957 18:00;258;950
21;195811;ALICE;W. N. Pacific;1958;24.07.1958 18:00;252;925
22;195817;FLOSSIE;W. N. Pacific;1958;26.08.1958 00:00;120;970
23;195821;HELEN;W. N. Pacific;1958;19.09.1958 00:00;240;920
24;195822;IDA;W. N. Pacific;1958;27.09.1958 00:00;150;877
25;195906;ELLEN;W. N. Pacific;1959;10.08.1959 00:00;174;965
26;195907;GEORGIA;W. N. Pacific;1959;14.08.1959 18:00;66;960
27;195915;VERA;W. N. Pacific;1959;27.09.1959 12:00;144;895
28;195916;AMY;W. N. Pacific;1959;07.10.1959 12:00;96;985
29;196011;VIRGINIA;W. N. Pacific;1960;12.08.1960 06:00;78;980
30;196012;WENDY;W. N. Pacific;1960;13.08.1960 06:00;66;990
31;196016;DELLA;W. N. Pacific;1960;30.08.1960 18:00;324;970
32;196019;NO-NAME;W. N. Pacific;1960;02.09.1960 00:00;12;1008
33;196111;IDA;W. N. Pacific;1961;31.07.1961 06:00;72;980
34;196118;NANCY;W. N. Pacific;1961;17.09.1961 18:00;234;890
35;196124;VIOLET;W. N. Pacific;1961;10.10.1961 12:00;138;895
36;196207;LOUISE;W. N. Pacific;1962;28.07.1962 00:00;168;960
37;196209;NORA;W. N. Pacific;1962;03.08.1962 18:00;132;968
38;196213;SARAH;W. N. Pacific;1962;22.08.1962 12:00;174;975
39;196214;THELMA;W. N. Pacific;1962;26.08.1962 12:00;150;950
40;196215;VERA;W. N. Pacific;1962;28.08.1962 00:00;60;990
41;196303;ROSE;W. N. Pacific;1963;14.06.1963 06:00;138;992
42;196309;BESS;W. N. Pacific;1963;10.08.1963 12:00;276;930
43;196414;KATHY;W. N. Pacific;1964;25.08.1964 00:00;306;948
