Entity,Code,Year,"Land use per 1000kcal (Poore & Nemecek, 2018)"
Apples,,2010,1.3125
Bananas,,2010,3.216666667
Barley,,2010,0.222
Beef (beef herd),,2010,119.4908425
Beef (dairy herd),,2010,15.83882784
Beet Sugar,,2010,0.521367521
Berries & Grapes,,2010,4.228070175
Brassicas,,2010,3.235294118
Cane Sugar,,2010,0.581196581
Cassava,,2010,1.858316222
Cheese,,2010,22.68475452
Citrus Fruit,,2010,2.6875
Coffee,,2010,38.60714286
Dark Chocolate,,2010,13.3384913
Eggs,,2010,4.354166667
Fish (farmed),,2010,4.698324022
Groundnuts,,2010,1.570689655
Lamb & Mutton,,2010,116.659306
Maize,,2010,0.650082919
Milk,,2010,14.91666667
Nuts,,2010,2.107317073
Oatmeal,,2010,2.897445673
Olive Oil,,2010,2.976244344
Onions & Leeks,,2010,1.054054054
Other Pulses,,2010,4.565982405
Palm Oil,,2010,0.273755656
Peas,,2010,2.156069364
Pig Meat,,2010,7.263598326
Potatoes,,2010,1.202185792
Poultry Meat,,2010,6.605405405
Prawns (farmed),,2010,2.883495146
Rapeseed Oil,,2010,1.202488688
Rice,,2010,0.759631036
Root Vegetables,,2010,0.891891892
Sunflower Oil,,2010,1.997737557
Tofu (soybeans),,2010,1.298892989
Tomatoes,,2010,4.210526316
Wheat & Rye,,2010,1.439074806
